"symbol","ensembl_ID","User_ID","WITHEXPOSURE-REFERENCE_log2FC","WITHEXPOSURE-REFERENCE_adjPval","WITHEXPOSURE-WITHOUTEXPOSURE_log2FC","WITHEXPOSURE-WITHOUTEXPOSURE_adjPval","WITHOUTEXPOSURE-REFERENCE_log2FC","WITHOUTEXPOSURE-REFERENCE_adjPval","Processed data:","Ref_R1_SRR23919708","Ref_R2_SRR23919707","Ref_R3_SRR23919704","Ref_R4_SRR23919703","WE_R1_SRR23919698","WE_R2_SRR23919697","WE_R3_SRR23919706","WE_R4_SRR23919705","WOE_R1_SRR23919702","WOE_R2_SRR23919701","WOE_R3_SRR23919700","WOE_R4_SRR23919699"
"T1L065","T1L065","T1L065",0.446623303912634,2.99214746792264e-07,-0.0898368134040513,0.570094122526661,0.536460117316685,4.61163826712425e-10,"",15.4272685914144,15.5025324294318,15.2880356673777,15.2582770651823,15.6324540719429,15.6498637134522,15.7909888188384,15.7316764839317,15.797891880529,15.7338848182513,15.6858881329015,15.8558326959662
"  TETUR19G02170","TETUR19G02170","TETUR19G02170",0.464510782058019,1.53478902144982e-11,0.550700193581208,3.58978886187248e-14,-0.0861894115231894,0.293001676108835,"",15.3776916332435,15.4308592818741,15.4803569271901,15.5370516378183,15.7395776992387,15.8113451612837,15.8044031357104,15.8580343956902,15.2959018160275,15.4206123429518,15.3726654309204,15.4812608665883
"  TETUR06G04970","TETUR06G04970","TETUR06G04970",12.9809327822718,8.33723717522007e-137,0.12543455962474,0.404283065188663,12.8554982226471,3.76236035556415e-134,"",8.50214610717617,8.51909256126441,8.51784937208532,8.50497904542621,13.4874960050619,13.6460363463374,13.4939221770943,13.3716015967193,13.3013802377029,13.3823603141712,13.3956795506295,13.5259558091129
"  TETUR12G01860","TETUR12G01860","TETUR12G01860",-0.150441007598294,0.178340697482526,-0.297709488441495,0.0214565853495956,0.147268480843201,0.188589282182456,"",15.5357989402078,15.5865691288268,15.7109523002726,15.689851196723,15.3287638386086,15.5926041992448,15.5971124183009,15.5484185121572,15.5924826172818,15.7274027746493,15.7976825870045,15.8382555676195
"  TETUR04G05970","TETUR04G05970","TETUR04G05970",-0.675093748746766,0.34308660139565,-0.39736560682854,0.745548407883383,-0.277728141918226,0.724416718244678,"",13.8874218717427,14.5044167747472,14.3990063233304,14.3778456166674,12.3224982390613,14.2851010026997,13.9048689746408,13.95304563904,13.0451578202532,13.9876436218968,14.3938385470044,14.5074346617561
"T1K784","T1K784","T1K784",-0.358925144100853,2.50173024001149e-07,-0.101334610646401,0.38133494619464,-0.257590533454452,0.000324171266744264,"",16.0486013310178,16.1272108802318,16.0355889830428,16.0264716933076,15.8814988678945,15.7956886563722,15.7136312562501,15.7793737443863,15.8300787716665,15.8175670297196,15.9807670666928,15.8386627107596
"  TETUR20G01290","TETUR20G01290","TETUR20G01290",1.48496087368539,1.22813269963694e-09,0.746821036010765,0.021817835062288,0.738139837674627,0.00458380437870334,"",12.8888792007633,13.2425039726933,13.1120413075057,13.2849968081653,14.3351189710261,14.4212922189151,13.8065438341267,14.2783473289248,13.4368905076196,13.5467646813959,13.5732068685912,14.0410538299657
"T1KMK7","T1KMK7","T1KMK7",0.17351713471987,0.334570517587602,0.12565791545343,0.664585184162702,0.04785921926644,0.816274197351681,"",15.1745456008474,15.4150116843211,15.3399183779397,15.3518288227162,15.150556033844,15.5954824747508,15.5166841992166,15.4986519065803,14.9890013032721,15.3317192396616,15.5130836761226,15.5249707810228
"  TETUR05G04690","TETUR05G04690","TETUR05G04690",-1.30608131602418,2.90205138414212e-55,-0.36955863550093,0.000311327304268077,-0.936522680523249,8.59384853395957e-29,"",14.4007377566876,14.4972972129313,14.4793098615416,14.5151884479767,13.586230568875,13.4832564890763,13.4696846946639,13.4945307670601,13.6432688070288,13.7381615804236,13.9609159480798,13.7367493091176
"  TETUR12G00850","TETUR12G00850","TETUR12G00850",-0.0202404479405988,0.907840128614873,0.502604977109697,0.000531149007919736,-0.522845425050295,2.88070237634934e-05,"",15.3318332563372,15.4539782335947,15.3432494520161,15.3797657678547,15.264834650892,15.2652087905735,15.360105375235,15.5398116653255,15.0393840536492,15.0358722197188,14.6826323456971,15.1580091694065
