"","group","FDR","nGenes","Pathway size","Fold enriched","Pathway","URL","Genes"
"1","Upregulated","2.70e-03",10,42,5.8404452690167,"Glutathione metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006749","TETUR01G02230, TETUR01G02480, TETUR05G05220, TETUR05G05240, TETUR05G05260, TETUR05G05300, TETUR26G01450, TETUR26G01520, TETUR29G00220, TETUR31G01330"
"2","Upregulated","5.32e-03",38,613,1.97152086492188,"Proteolysis "," http://amigo.geneontology.org/amigo/term/GO:0006508","TETUR01G02960, TETUR01G05480, TETUR01G06610, TETUR02G01640, TETUR02G06880, TETUR02G06940, TETUR03G01140, TETUR03G08010, TETUR05G04700, TETUR06G01060, TETUR06G02570, TETUR06G02580, TETUR06G02610, TETUR06G06630, TETUR08G05010, TETUR08G06770, TETUR09G03880, TETUR09G06718, TETUR11G04170, TETUR128G00050, TETUR15G01960, TETUR16G02250, TETUR16G03190, TETUR16G03680, TETUR17G01260, TETUR18G01260, TETUR25G00650, TETUR28G01760, TETUR31G00700, TETUR32G01380, TETUR33G00320, TETUR35G00870, TETUR35G00930, TETUR35G00980, TETUR35G01290, TETUR35G01550, TETUR40G00200, TETUR60G00020"
"3","Upregulated","5.32e-03",11,59,4.58892128279883,"Cellular modified amino acid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006575","TETUR01G02230, TETUR01G02480, TETUR04G05460, TETUR05G05220, TETUR05G05240, TETUR05G05260, TETUR05G05300, TETUR26G01450, TETUR26G01520, TETUR29G00220, TETUR31G01330"
"4","Upregulated","5.32e-03",9,66,5.25640074211503,"Sphingolipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006665","TETUR02G07250, TETUR02G07780, TETUR05G06960, TETUR06G01580, TETUR06G01590, TETUR147G00020, TETUR17G00870, TETUR187G00020, TETUR19G00420"
"5","Upregulated","1.58e-02",10,88,4.08831168831169,"Membrane lipid metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0006643","TETUR02G07250, TETUR02G07780, TETUR05G06960, TETUR06G01580, TETUR06G01590, TETUR09G02120, TETUR147G00020, TETUR17G00870, TETUR187G00020, TETUR19G00420"
"6","Upregulated","2.79e-02",5,16,7.86213786213786,"Antibiotic metabolic process "," http://amigo.geneontology.org/amigo/term/GO:0016999","TETUR02G09830, TETUR02G09850, TETUR04G07780, TETUR05G00090, TETUR22G00310"
